DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-03-27,Legs,Squat,Legs,1,10,40.0
2023-03-27,Legs,Squat,Legs,2,8,50.0
2023-03-27,Legs,Squat,Legs,3,8,60.0
2023-03-27,Legs,Squat,Legs,4,8,50.0
2023-03-27,Legs,Presse à cuisses,Legs,1,10,60.0
2023-03-27,Legs,Presse à cuisses,Legs,2,10,60.0
2023-03-27,Legs,Presse à cuisses,Legs,3,8,80.0
2023-03-27,Legs,Presse à cuisses,Legs,4,10,80.0
2023-03-27,Legs,Leg extension,Legs,1,7,25.0
2023-03-27,Legs,Leg extension,Legs,2,7,25.0
2023-03-27,Legs,Leg extension,Legs,3,9,20.0
2023-03-27,Legs,Leg extension,Legs,4,10,20.0
2023-03-28,Back / Shoulders,Tirage vertical,Back,1,10,39.0
2023-03-28,Back / Shoulders,Tirage vertical,Back,2,10,45.0
2023-03-28,Back / Shoulders,Tirage vertical,Back,3,6,59.0
2023-03-28,Back / Shoulders,Tirage vertical,Back,4,5,52.0
2023-03-28,Back / Shoulders,Tractions pronation,Back,1,5,0.0
2023-03-28,Back / Shoulders,Rowing barre,Back,1,9,40.0
2023-03-28,Back / Shoulders,Rowing barre,Back,2,10,40.0
2023-03-28,Back / Shoulders,Rowing barre,Back,3,8,45.0
2023-03-28,Back / Shoulders,Rowing barre,Back,4,7,45.0
2023-03-28,Back / Shoulders,Tirage horizontal,Back,1,10,25.0
2023-03-28,Back / Shoulders,Tirage horizontal,Back,2,10,32.0
2023-03-28,Back / Shoulders,Tirage horizontal,Back,3,8,39.0
2023-03-28,Back / Shoulders,Tirage horizontal,Back,4,8,39.0
2023-03-28,Back / Shoulders,Dumbbell incline row,Shoulders,1,10,8.0
2023-03-28,Back / Shoulders,Dumbbell incline row,Shoulders,2,10,8.0
2023-03-28,Back / Shoulders,Dumbbell incline row,Shoulders,3,10,8.0
2023-04-03,Chest / Shoulders,Développé couché,Chest,1,10,40.0
2023-04-03,Chest / Shoulders,Développé couché,Chest,2,6,50.0
2023-04-03,Chest / Shoulders,Développé couché,Chest,3,5,50.0
2023-04-03,Chest / Shoulders,Développé couché,Chest,4,4,50.0
2023-04-03,Chest / Shoulders,Développé incliné avec haltères,Chest,1,10,14.0
2023-04-03,Chest / Shoulders,Développé incliné avec haltères,Chest,2,7,16.0
2023-04-03,Chest / Shoulders,Développé incliné avec haltères,Chest,3,6,16.0
2023-04-03,Chest / Shoulders,Développé incliné avec haltères,Chest,4,4,16.0
2023-04-03,Chest / Shoulders,Cable crossover,Chest,1,10,9.0
2023-04-03,Chest / Shoulders,Cable crossover,Chest,2,10,14.0
2023-04-03,Chest / Shoulders,Cable crossover,Chest,3,10,14.0
2023-04-03,Chest / Shoulders,Cable crossover,Chest,4,10,14.0
2023-04-03,Chest / Shoulders,Développé militaire haltères,Shoulders,1,10,10.0
2023-04-03,Chest / Shoulders,Développé militaire haltères,Shoulders,2,7,12.0
2023-04-03,Chest / Shoulders,Développé militaire haltères,Shoulders,3,7,12.0
2023-04-03,Chest / Shoulders,Développé militaire haltères,Shoulders,4,6,12.0
2023-04-04,Back / Shoulders,Tractions pronation,Back,1,5,0.0
2023-04-04,Back / Shoulders,Tractions pronation,Back,2,5,0.0
2023-04-04,Back / Shoulders,Tractions pronation,Back,3,4,0.0
2023-04-04,Back / Shoulders,Tractions pronation,Back,4,3,0.0
2023-04-04,Back / Shoulders,Rowing barre,Back,1,10,40.0
2023-04-04,Back / Shoulders,Rowing barre,Back,2,10,40.0
2023-04-04,Back / Shoulders,Rowing barre,Back,3,10,45.0
2023-04-04,Back / Shoulders,Rowing barre,Back,4,10,50.0
2023-04-04,Back / Shoulders,Tirage vertical,Back,1,10,39.0
2023-04-04,Back / Shoulders,Tirage vertical,Back,2,10,32.0
2023-04-04,Back / Shoulders,Tirage vertical,Back,3,10,39.0
2023-04-04,Back / Shoulders,Tirage vertical,Back,4,8,45.0
2023-04-04,Back / Shoulders,Élévations latérales,Shoulders,1,10,6.0
2023-04-04,Back / Shoulders,Élévations latérales,Shoulders,2,10,8.0
2023-04-04,Back / Shoulders,Élévations latérales,Shoulders,3,8,8.0
2023-04-04,Back / Shoulders,Élévations latérales,Shoulders,4,8,8.0
2023-04-06,Legs,Squat,Legs,1,7,45.0
2023-04-06,Legs,Squat,Legs,2,10,50.0
2023-04-06,Legs,Squat,Legs,3,8,55.0
2023-04-06,Legs,Squat,Legs,4,7,60.0
2023-04-06,Legs,Presse à cuisses,Legs,1,10,70.0
2023-04-06,Legs,Presse à cuisses,Legs,2,10,80.0
2023-04-06,Legs,Presse à cuisses,Legs,3,10,90.0
2023-04-06,Legs,Presse à cuisses,Legs,4,8,100.0
2023-04-06,Legs,Leg extension,Legs,1,10,20.0
2023-04-06,Legs,Leg extension,Legs,2,10,25.0
2023-04-06,Legs,Leg extension,Legs,3,8,30.0
2023-04-06,Legs,Leg extension,Legs,4,8,30.0
2023-04-06,Legs,Leg curl,Legs,1,10,30.0
2023-04-06,Legs,Leg curl,Legs,2,10,30.0
2023-04-06,Legs,Leg curl,Legs,3,10,35.0
2023-04-06,Legs,Leg curl,Legs,4,10,40.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,1,10,18.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,2,7,24.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,3,10,22.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,4,3,26.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,5,10,18.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,6,7,24.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,7,10,22.0
2023-04-08,Arms / Shoulders,Curl barre,Biceps,8,3,26.0
2023-04-08,Arms / Shoulders,Kickback,Triceps,1,8,6.0
2023-04-08,Arms / Shoulders,Kickback,Triceps,2,8,6.0
2023-04-08,Arms / Shoulders,Kickback,Triceps,3,8,6.0
2023-04-08,Arms / Shoulders,Kickback,Triceps,4,8,6.0
2023-04-08,Arms / Shoulders,Kickback,Triceps,5,8,6.0
2023-04-08,Arms / Shoulders,Kickback,Triceps,6,8,6.0
2023-04-08,Arms / Shoulders,Barre au front derriere la tête,Triceps,1,10,10.0
2023-04-08,Arms / Shoulders,Barre au front derriere la tête,Triceps,2,10,14.0
2023-04-08,Arms / Shoulders,Barre au front derriere la tête,Triceps,3,7,18.0
2023-04-08,Arms / Shoulders,Barre au front derriere la tête,Triceps,4,6,18.0
2023-04-08,Arms / Shoulders,Curl marteau,Biceps,1,10,6.0
2023-04-08,Arms / Shoulders,Curl marteau,Biceps,2,10,8.0
2023-04-08,Arms / Shoulders,Curl marteau,Biceps,3,8,8.0
2023-04-08,Arms / Shoulders,Curl marteau,Biceps,4,6,10.0
2023-04-08,Arms / Shoulders,Dumbbell incline row,Shoulders,1,10,10.0
2023-04-08,Arms / Shoulders,Dumbbell incline row,Shoulders,2,10,10.0
2023-04-08,Arms / Shoulders,Dumbbell incline row,Shoulders,3,10,10.0
2023-04-08,Arms / Shoulders,Dumbbell incline row,Shoulders,4,7,10.0
2023-04-10,Chest / Shoulders,Développé couché,Chest,1,10,30.0
2023-04-10,Chest / Shoulders,Développé couché,Chest,2,14,40.0
2023-04-10,Chest / Shoulders,Développé couché,Chest,3,5,50.0
2023-04-10,Chest / Shoulders,Développé couché,Chest,4,5,50.0
2023-04-10,Chest / Shoulders,Développé incliné avec haltères,Chest,1,13,14.0
